Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99
3608.29,3609.26,3605.61,3606.17,3609.26,3606.73,3606.95,3609.27,3606.22,3607.13,3606.28,3606.23,3606.95,3605.81,3606.6,3607.13,3606.16,3606.6,3606.75,3606.17,3606.16,3606.28,3606.39,3609.26,3605.81,3606.2,3609.27,3606.2,3609.27,3606.75,3606.73,3606.23,3607.13,3605.81,3606.2,3606.23,3606.47,3606.2,3606.22,3606.39,3606.28,3606.95,3606.17,3606.95,3606.73,3606.09,3606.73,3605.92,3606.38,3605.61,3606.6,3609.26,3606.47,3606.38,3606.23,3605.83,3607.13,3605.92,3605.61,3606.73,3609.27,3606.38,3606.28,3606.38,3606.75,3606.39,3609.26,3606.22,3606.2,3606.38,3608.29,3606.26,3606.28,3605.61,3607.13,3606.75,3606.38,3606.09,3607.13,3606.23,3608.29,3606.17,3608.29,3606.22,3608.29,3609.27,3607.13,3606.22,3609.26,3606.23,3606.2,3606.2,3606.75,3606.09,3606.26,3606.38,3607.13,3606.22,3609.26,3606.28
3606.42,3607.77,3601.53,3602.62,3607.77,3603.5,3604.79,3607.78,3602.95,3604.7,3602.61,3602.76,3604.79,3602.17,3604.3,3604.7,3602.62,3604.3,3603.53,3602.62,3602.62,3602.61,3602.83,3607.77,3602.17,3602.68,3607.78,3602.68,3607.78,3603.53,3603.5,3602.76,3604.7,3602.17,3602.68,3602.76,3603.58,3602.68,3602.95,3602.83,3602.61,3604.79,3602.62,3604.79,3603.5,3602.32,3603.5,3603.42,3604.33,3601.53,3604.3,3607.77,3603.58,3604.33,3602.76,3601.83,3604.7,3603.42,3601.53,3603.5,3607.78,3604.33,3602.61,3604.33,3603.53,3602.83,3607.77,3602.95,3602.68,3604.33,3606.42,3602.66,3602.61,3601.53,3604.7,3603.53,3604.33,3602.32,3604.7,3602.76,3606.42,3602.62,3606.42,3602.95,3606.42,3607.78,3604.7,3602.72,3607.77,3602.76,3602.68,3602.68,3603.53,3602.32,3602.66,3604.33,3604.7,3602.72,3607.77,3602.61
3606.24,3606.2,3597.33,3598.71,3606.2,3600.86,3604.54,3606.21,3600.19,3603.03,3598.76,3598.91,3604.54,3598.03,3602.66,3603.03,3598.7,3602.66,3600.91,3598.71,3598.7,3598.76,3599.09,3606.2,3598.03,3598.8,3606.21,3598.8,3606.21,3600.91,3600.86,3598.91,3603.03,3598.03,3598.8,3598.91,3600.22,3598.8,3600.19,3599.09,3598.76,3604.54,3598.71,3604.54,3600.86,3599.41,3600.86,3601.06,3601.91,3597.33,3602.66,3606.2,3600.22,3601.91,3598.91,3599.87,3603.03,3601.06,3597.33,3600.86,3606.21,3601.91,3598.76,3601.91,3600.91,3599.09,3606.2,3600.19,3598.8,3601.91,3606.24,3598.19,3598.76,3597.33,3603.03,3600.91,3601.91,3599.41,3603.03,3598.91,3606.24,3598.71,3606.24,3600.19,3606.24,3606.21,3603.03,3598.86,3606.2,3598.91,3598.8,3598.8,3600.91,3599.41,3598.19,3601.91,3603.03,3598.86,3606.2,3598.76
3610.63,3611.71,3592.92,3594.7,3611.71,3600.15,3603.84,3611.74,3604.95,3602.36,3594.64,3595.01,3603.84,3593.5,3604.1,3602.36,3594.68,3604.1,3600.24,3594.7,3594.68,3594.64,3595.06,3611.71,3593.5,3594.84,3611.74,3594.84,3611.74,3600.24,3600.15,3595.01,3602.36,3593.5,3594.84,3595.01,3600,3594.84,3604.95,3595.06,3594.64,3603.84,3594.7,3603.84,3600.15,3596.07,3600.15,3602.74,3606.39,3592.92,3604.1,3611.71,3600,3606.39,3595.01,3596.53,3602.36,3602.74,3592.92,3600.15,3611.74,3606.39,3594.64,3606.39,3600.24,3595.06,3611.71,3604.95,3594.84,3606.39,3610.63,3593.17,3594.64,3592.92,3602.36,3600.24,3606.39,3596.07,3602.36,3595.01,3610.63,3594.7,3610.63,3604.95,3610.63,3611.74,3602.36,3594.93,3611.71,3595.01,3594.84,3594.84,3600.24,3596.07,3593.17,3606.39,3602.36,3594.93,3611.71,3594.64
3635.35,3630.24,3595.69,3593.47,3630.24,3600.66,3626.63,3630.31,3608.5,3604.48,3594.98,3593.96,3626.63,3592.91,3619.83,3604.48,3593.44,3619.83,3600.81,3593.47,3593.44,3594.98,3595.84,3630.24,3592.91,3593.68,3630.31,3593.68,3630.31,3600.81,3600.66,3593.96,3604.48,3592.91,3593.68,3593.96,3617.26,3593.68,3608.5,3595.84,3594.98,3626.63,3593.47,3626.63,3600.66,3599.6,3600.66,3607.59,3608.93,3595.69,3619.83,3630.24,3617.26,3608.93,3593.96,3598.37,3604.48,3607.59,3595.69,3600.66,3630.31,3608.93,3594.98,3608.93,3600.81,3595.84,3630.24,3608.5,3593.68,3608.93,3635.35,3588.97,3594.98,3595.69,3604.48,3600.81,3608.93,3599.6,3604.48,3593.96,3635.35,3593.47,3635.35,3608.5,3635.35,3630.31,3604.48,3593.81,3630.24,3593.96,3593.68,3593.68,3600.81,3599.6,3588.97,3608.93,3604.48,3593.81,3630.24,3594.98
3654.37,3643.36,3598.09,3590.5,3643.36,3601.49,3647.37,3643.48,3613.85,3611.84,3592.07,3590.99,3647.37,3607.74,3636.71,3611.84,3590.48,3636.71,3601.75,3590.5,3590.48,3592.07,3593.02,3643.36,3607.73,3590.71,3643.45,3590.71,3643.45,3601.7,3601.49,3590.99,3611.84,3607.72,3590.71,3590.99,3623.86,3590.72,3613.82,3593.02,3592.07,3647.37,3590.5,3647.37,3601.49,3604.52,3601.51,3609.42,3616.42,3598.05,3636.71,3643.36,3623.86,3616.43,3590.99,3597.31,3611.84,3609.41,3598.05,3601.49,3643.45,3616.44,3592.07,3616.5,3601.79,3593.02,3643.36,3613.86,3590.71,3616.46,3654.37,3584.61,3592.07,3598.04,3611.84,3601.7,3616.5,3604.48,3611.84,3590.99,3654.37,3590.5,3654.37,3613.86,3654.37,3643.45,3611.84,3590.85,3643.36,3591,3590.71,3590.71,3601.71,3604.48,3584.61,3616.48,3611.84,3590.85,3643.39,3592.07
3657.85,3643.53,3594.27,3586.92,3643.53,3596.97,3648.68,3643.78,3609.5,3610.98,3587.17,3587.57,3648.68,3608.93,3639.02,3610.98,3586.88,3639.02,3597.16,3586.92,3586.88,3587.17,3588.38,3643.53,3608.93,3587.2,3643.62,3587.2,3643.62,3597.09,3596.97,3587.57,3610.98,3608.91,3587.2,3587.57,3622.03,3587.21,3609.47,3588.38,3587.17,3648.68,3586.92,3648.68,3596.97,3599.16,3596.98,3607.93,3612.94,3593.97,3639.02,3643.53,3622.03,3612.94,3587.57,3593.08,3610.98,3607.93,3593.97,3596.97,3643.62,3612.96,3587.17,3613.18,3597.3,3588.38,3643.53,3609.57,3587.2,3613,3657.96,3578.86,3587.17,3593.95,3610.98,3597.09,3613.18,3599.06,3610.98,3587.57,3657.85,3586.92,3657.97,3609.57,3657.97,3643.62,3610.98,3587.38,3643.53,3587.58,3587.2,3587.2,3597.1,3599.06,3578.86,3613.09,3610.98,3587.38,3643.66,3587.17
3654.9,3640.13,3588.02,3579.91,3640.13,3590.45,3645.66,3640.61,3602.14,3605.17,3579.92,3580.49,3645.66,3603.83,3634.37,3605.17,3579.88,3634.37,3590.84,3579.91,3579.88,3579.92,3580.96,3640.13,3603.82,3580.17,3640.23,3580.17,3640.23,3590.69,3590.45,3580.49,3605.17,3603.8,3580.17,3580.49,3618.88,3580.18,3602.06,3580.96,3579.92,3645.66,3579.91,3645.66,3590.45,3591.62,3590.47,3602.61,3614.06,3587.46,3634.37,3640.13,3618.88,3614.07,3580.49,3586.78,3605.17,3602.59,3587.46,3590.45,3640.24,3614.13,3579.92,3614.55,3591.09,3580.96,3640.13,3602.28,3580.17,3614.24,3655.21,3572.83,3579.92,3587.36,3605.17,3590.69,3614.55,3591.4,3605.17,3580.49,3654.91,3579.91,3655.24,3602.28,3655.23,3640.23,3605.17,3580.33,3640.13,3580.49,3580.17,3580.17,3590.69,3591.4,3572.83,3614.4,3605.26,3580.33,3640.46,3579.92
3653.67,3637.87,3582.52,3575.84,3637.87,3585.93,3643.52,3638.36,3597.15,3601.23,3574.11,3576.45,3643.34,3602.04,3630.93,3601.23,3575.8,3630.81,3586.7,3575.87,3575.88,3574.11,3575.12,3637.87,3602.02,3576.11,3637.98,3576.11,3637.95,3586.49,3585.93,3576.45,3601.23,3601.89,3576.11,3576.45,3617.12,3576.2,3597.06,3575.12,3574.11,3643.35,3575.84,3643.34,3585.93,3588.59,3586.1,3605.09,3611.63,3581.94,3630.81,3637.87,3617.12,3611.64,3576.45,3583.3,3601.23,3605.04,3581.94,3585.98,3637.99,3611.74,3574.11,3612.38,3587.05,3575.12,3637.87,3597.35,3576.19,3611.93,3653.98,3568.99,3574.11,3581.82,3601.23,3586.49,3612.39,3588.24,3601.23,3576.45,3653.67,3575.84,3654.01,3597.35,3654,3637.95,3601.23,3576.33,3637.84,3576.53,3576.11,3576.11,3586.49,3588.24,3568.99,3612.16,3601.39,3576.28,3638.21,3574.11
3651.47,3635.67,3580.62,3571.52,3634.95,3582.07,3642.48,3637.31,3598.14,3598.37,3573.19,3572.38,3641.6,3603.42,3631.92,3598.99,3571.73,3628.84,3584.6,3573.9,3573.52,3573.16,3570.93,3636.74,3600.51,3574.17,3635.06,3571.78,3636.95,3582.62,3582.88,3573.32,3598.71,3598.59,3571.78,3572.09,3614.24,3573.84,3593.49,3571.69,3573.7,3641.73,3571.53,3641.6,3583.22,3586.17,3583.91,3602.36,3608.96,3589.47,3628.06,3634.91,3614.71,3609.01,3572.85,3581.41,3598.99,3601.24,3589.47,3581.66,3635.41,3608.74,3570.64,3611.94,3584.55,3573.17,3634.36,3595.11,3573.12,3620,3653.07,3566.9,3573.94,3577.97,3598.35,3583.62,3611.94,3586,3599.29,3572.93,3652.79,3582.48,3653.5,3594.55,3656.27,3635.8,3598.38,3574.4,3636.84,3573.46,3571.04,3571.81,3593.47,3583.71,3566.1,3610.19,3600.66,3571.92,3636.7,3571.44
